date,user,text,retweets,favourites
2021-03-11 21:49:48,JoeBiden,"RT @POTUS: Before I took office, I promised you that help was on the way. Today, I signed the American Rescue Plan into law, and can offici…",12550,0
2021-03-10 20:37:40,JoeBiden,"RT @WhiteHouse: From $1,400 checks and unemployment relief to vaccines for every American — help is here. https://t.co/R0AYaTbkTV",3248,0
2021-03-10 19:58:45,JoeBiden,RT @POTUS: Help is here. https://t.co/urZCiigeS1,9823,0
2021-03-10 15:09:16,JoeBiden,"RT @POTUS: Keep the faith, folks. We will get through this. https://t.co/AMlyu4pU6M",5432,0
2021-03-09 21:32:10,JoeBiden,RT @POTUS: I want every child to know that this is what vice presidents and generals in the United States Armed Forces look like. https://t…,30807,0
2021-03-09 18:35:14,JoeBiden,RT @POTUS: I believe every worker deserves a free and fair choice to join a union — and the PRO Act will bring us closer to that reality. I…,7488,0
2021-03-08 22:18:59,JoeBiden,"RT @VP: On this #InternationalWomensDay, I want to honor the women who for over a year have gone to work, often risking their health, to no…",7962,0
2021-03-08 15:35:18,JoeBiden,"RT @WhiteHouse: Last week, the Biden-Harris Administration: 

- Began administering the single-dose Johnson &amp; Johnson vaccine
- Secured eno…",3628,0
2021-03-07 16:53:11,JoeBiden,"RT @POTUS: The legacy of Selma is that while nothing can stop free people from exercising their most sacred power as citizens, there are th…",6557,0
2021-03-06 19:52:39,JoeBiden,"RT @POTUS: When I took office, I promised help was on the way. Thanks to @SenSchumer and Senate Democrats, we've taken one more giant step…",10306,0
2021-03-06 16:56:40,JoeBiden,"RT @WhiteHouse: Tammy is a health care professional and single mother of four children — and like countless other Americans, she’s struggli…",1493,0
2021-03-05 20:06:03,JoeBiden,"RT @POTUS: With the Johnson &amp; Johnson vaccine, we now have a third safe and effective COVID-19 vaccine being administered across the countr…",3028,0
2021-03-04 19:52:05,JoeBiden,"RT @POTUS: The right to vote is sacred and fundamental — and H.R. 1 is urgently needed to protect that right, to safeguard the integrity of…",11466,0
2021-03-03 21:48:07,JoeBiden,"RT @WhiteHouse: In the two weeks since the Biden-Harris Administration opened a special enrollment period for health insurance, over 200,00…",2697,0
2021-03-03 14:43:25,JoeBiden,RT @POTUS: An educator is leading the Department of Education once again. I look forward to working with @SecCardona to safely reopen our n…,3620,0
2021-03-02 22:14:30,JoeBiden,"RT @WhiteHouse: Today, President Biden announced a breakthrough collaboration between Johnson &amp; Johnson, Merck, and the federal government…",6228,0
2021-03-02 21:46:55,JoeBiden,"RT @POTUS: Today, I am directing every state to prioritize educators for vaccination. We want every educator, school staff member, and chil…",16650,0
2021-03-02 18:36:24,JoeBiden,"RT @POTUS: The fact is that $600 is not enough. The Senate needs to pass the American Rescue Plan and finish the job of delivering $2,000 i…",10517,0
2021-03-02 03:09:06,JoeBiden,"RT @POTUS: Wash your hands.
Stay socially distanced.
Wear a mask.
Get vaccinated when it’s your turn.

Despite our progress, we can’t let o…",14958,0
2021-03-01 20:00:57,JoeBiden,RT @POTUS: No child in America should go hungry. The American Rescue Plan will extend and invest in critical food programs to help ensure e…,3827,0
2021-03-01 16:00:09,JoeBiden,"A campaign for everyone who’s been knocked down or counted out.

A campaign that brought Americans together of every race, ethnicity, gender, economic station, and party.

A year ago, the people of South Carolina lifted that campaign on their shoulders.
https://t.co/YN5LeBMLMe",3528,36294
2021-02-28 18:40:24,JoeBiden,"RT @POTUS: The more people that get vaccinated, the faster we will beat this pandemic. That’s why one of my first goals is to administer 10…",13144,0
2021-02-28 01:41:28,JoeBiden,"RT @POTUS: Yesterday I traveled to Texas to visit an emergency operations center, food bank, and vaccination site. Each stop represented ou…",7728,0
2021-02-27 15:31:46,JoeBiden,RT @WhiteHouse: Erica is a nurse in New York City and runs COVID-19 testing at one of the hardest-hit hospitals in the country. President B…,2121,0
2021-02-26 21:47:10,JoeBiden,"RT @POTUS: The week before I took office, 6 million COVID-19 vaccine shots were administered.

This coming week, our Administration will li…",8920,0
2021-02-26 15:21:15,JoeBiden,"RT @POTUS: COVID-19 vaccinations are up and cases and hospitalizations are down, but let me be clear: now is not the time to relax. https:/…",4977,0
2021-02-26 01:51:06,JoeBiden,"RT @POTUS: Transgender rights are human rights — and the House made that clear today by passing the Equality Act. 

Now it's time for the S…",22091,0
2021-02-25 21:36:25,JoeBiden,RT @POTUS: I am pleased that the House will vote next week on the George Floyd Justice in Policing Act. I encourage the House to pass it. F…,11100,0
2021-02-25 00:06:45,JoeBiden,"RT @WhiteHouse: On Friday, President Biden toured a Pfizer manufacturing plant in Michigan to see the vaccine production process firsthand…",1655,0
2021-02-24 22:02:29,JoeBiden,"RT @POTUS: When I met with Prime Minister @JustinTrudeau in 2016, I said the world needed more leaders like him. A lot has changed since th…",6264,0
2021-02-24 16:05:58,JoeBiden,"RT @POTUS: Small businesses need relief, but many were muscled out of the way by big companies last year. That’s why starting today, we’re…",4486,0
2021-02-23 16:57:17,JoeBiden,RT @JoeBiden: We need a president who is respected on the world stage. https://t.co/Hqv6T06Mtv,4026,0
2021-02-23 15:09:05,JoeBiden,"RT @POTUS: We will get through this, I promise you. https://t.co/dtmi4C9WsM",6788,0
2021-02-23 00:53:47,JoeBiden,"RT @POTUS: 500,000 lives lost to COVID-19. It’s an unfathomable number, but each one represents a family that will never again be whole. To…",13728,0
2021-02-22 21:06:37,JoeBiden,"RT @POTUS: I know folks have a lot of questions about COVID-19 mutations, our vaccination progress, and much more. @CDCDirector Dr. Walensk…",3016,0
2021-02-22 14:55:00,JoeBiden,"RT @POTUS: If there’s one message I want to cut through to everyone in this country, it’s this: The vaccines are safe.

For yourself, your…",16635,0
2021-02-21 21:42:02,JoeBiden,"RT @POTUS: Today would have been Congressman John Lewis’ 81st birthday. While my dear friend may no longer be with us, his life and legacy…",14566,0
2021-02-21 16:31:40,JoeBiden,RT @POTUS: Overcoming the COVID-19 pandemic needs to be our top priority as a nation. I joined members of my team to talk about our plan to…,5206,0
2021-02-20 21:26:49,JoeBiden,"RT @POTUS: The federal government has sent generators, blankets, water, and other critical supplies to Texas, but local organizations on th…",8573,0
2021-02-20 15:28:00,JoeBiden,"RT @POTUS: On Thursday, I joined the world and watched in awe as the Perseverance Rover touched down on the surface of Mars. It was a remar…",6886,0
2021-02-19 18:40:55,JoeBiden,"RT @POTUS: Today, America is officially back in the Paris Climate Agreement. Let’s get to work.",34756,0
2021-02-19 16:58:56,JoeBiden,"RT @POTUS: The Equality Act provides long overdue federal civil rights protections for LGBTQ+ Americans, preventing discrimination in our h…",9967,0
2021-02-18 21:22:12,JoeBiden,"RT @WhiteHouse: Texas — If you’re without heat, head to https://t.co/5WhFEK6B8u to find a warming shelter near you or call 211 for addition…",11074,0
